stock,time,prices,shares
CVCO,09:36:48.70,68.7,4
SCS,09:38:11.40,15.58,100
SCU,09:31:59.50,26.11,100
BBD,09:38:05.98,12.18,400
BBG,09:38:05.93,26.17,100
BBF,09:32:43.98,12.39,588
BBH,09:36:32.55,88.19,300
SCON,09:31:28.88,2.15,600
SCX,09:30:33.33,14.57,85
BBK,09:34:27.43,13.76,200
SCOK,09:30:00.65,1.16,115
SCZ,09:37:59.60,50.54,9
STPZ,09:37:34.80,52.9,100
JIVE,09:36:49.18,11.2,21
BBL,09:37:11.63,61.27,11
BBN,09:36:51.50,19.0503,2517
SDD,09:35:30.68,12.14,100
TWTC,09:37:54.10,30.32,100
BBT,09:38:01.93,36.96,100
SCOR,09:38:11.73,28.445,36
CEAI,09:35:22.40,0.298,100
BBW,09:30:00.08,7.59,1102
BBY,09:38:08.95,40.24,50
BBX,09:36:49.60,15.6,3
FNLC,09:36:49.50,17.49,4
SDP,09:30:15.98,20.9,25
SDR,09:37:44.03,9.01,200
BCA,09:35:48.90,20.68,100
SDT,09:35:38.78,9.26,100
SDS,09:38:13.30,29.985,200
BCC,09:36:49.23,29.27,6
BCF,09:38:02.50,8.66,75
BCE,09:38:02.60,43.19,3
BCH,09:36:32.58,86.32,4
STON,09:37:05.08,25.62,5491
KURRY,09:30:03.20,35.99,1
SDY,09:38:05.45,72.23,1
JRONY,09:30:55.20,38.25,100
BSAC,09:36:09.20,23.33,100
SEA,09:37:30.33,21.34,50
BCO,09:37:44.48,34.07,53
BCR,09:38:12.13,133.07,100
SEB,09:32:09.65,2778.12,13
SEE,09:38:14.05,33.9,100
BCS,09:38:12.38,18.03,400
BCV,09:30:00.48,18.52,500
SEF,09:36:24.80,20.67,100
BCX,09:38:02.50,11.55,65
CVCY,09:30:00.35,11.05,400
IWSY,09:37:58.40,1.9,1000
HCOM,09:36:49.30,29.5,5
SEM,09:37:53.60,11.49,100
TWSI,09:33:49.80,1.43,125
SEP,09:37:06.30,45.4,100
BDC,09:36:32.95,69.71,100
HTSI,09:36:30.90,49.35,100
A,09:38:07.15,56.86,100
TKPPY,09:34:38.60,23.62,400
B,09:37:14.30,37.93,55
BDE,09:36:49.35,13.29,8
NVEC,09:38:06.73,59.19,3
C,09:38:13.33,51.97,200
BDD,09:30:01.15,8.35,1000
D,09:38:13.93,64.2,100
STRT,09:30:00.58,44.7,300
STRS,09:30:00.33,17.43,1000
SEV,09:37:06.80,6.65,91
E,09:38:00.80,47.66,400
F,09:38:13.73,15.3945,500
G,09:38:09.43,18.22,200
H,09:38:13.65,49.85,100
STSA,09:37:43.13,33.73,100
I,09:38:09.18,22.49,100
BDJ,09:38:06.30,7.92,100
K,09:38:10.55,60.85,100
BDL,09:35:38.33,13.2,42
L,09:37:51.55,47.95,100
MLLGF,09:33:48.03,26.8948,1200
M,09:38:08.13,53.56,100
BDN,09:38:09.58,13.82,100
MSBF,09:30:00.13,8.08,100
CYS.PR.B,09:38:09.90,19.7,1000
N,09:38:09.58,101.634,500
O,09:38:13.38,37.26,72
P,09:38:04.45,26.64,100
STSI,09:38:12.43,1.03,100
CECO,09:38:13.05,5.6,100
Q,09:37:51.28,45.9501,55
R,09:38:12.35,72.91,85
SFE,09:37:53.85,20.01,11
S,09:38:13.55,10.48,21
T,09:38:12.50,35.15,100
SFG,09:37:10.83,65.3098,96
V,09:38:12.38,221.31,5
BDX,09:38:12.50,109.87,100
X,09:38:12.90,30.09,100
SFL,09:38:06.45,16.25,13
SFK,09:30:00.93,28.98,468
IFUS,09:36:49.40,0.01,25000
Y,09:37:57.73,398.045,100
Z,09:38:04.35,82.02,10
SFN,09:30:09.80,25.08,224
CECE,09:37:55.35,16.1,100
SFM,09:37:57.50,38.49,5
NVDA,09:38:10.65,15.89,60
BEE,09:37:24.95,9.38,100
SCPB,09:35:16.03,30.69,52
BSCM,09:30:01.18,19.89,107
BSCL,09:30:31.43,20.0,2
TWTR,09:38:13.68,65.81,1
BSCK,09:36:11.60,20.6,500
SFY,09:38:13.38,13.1101,18
BSCJ,09:35:12.80,20.785,350
BSCI,09:35:12.33,20.92,50
BSCH,09:36:51.38,22.665,300
BEN,09:38:11.73,57.23,100
BSCG,09:36:09.88,22.2882,583
BSCF,09:36:27.98,21.87,100
BEP,09:30:00.70,26.3,100
CEDU,09:30:01.13,6.81,100
TFSL,09:38:03.90,12.03,100
SGA,09:36:49.38,51.96,2
BSCE,09:38:11.00,21.23,1100
SGC,09:30:00.63,15.52,10
ZMSPF,09:34:04.40,0.769,1000
NVDQ,09:34:54.53,16.64,100
VLGEA,09:36:55.10,31.2,3
NECB,09:30:00.48,7.17,200
SGG,09:30:00.93,55.2,450
SGF,09:33:48.25,12.83,100
SGI,09:37:40.10,13.23,18
NVDL,09:30:12.20,0.0096,1000
SGK,09:36:49.48,15.02,5
STRA,09:37:02.90,34.375,11
SGM,09:36:49.58,16.6,1
STRP,09:36:49.58,8.22,5
SGL,09:36:33.00,8.96,64
STRM,09:30:00.50,6.74,8456
STRL,09:37:40.53,11.6,9
FNMA,09:38:13.20,3.02,150
BSBR,09:38:09.70,5.8599,400
HTSC,09:35:02.80,0.25,600
STRI,09:37:43.35,1.51,100
SGU,09:36:37.73,5.28,400
CEFC,09:31:19.40,8.0,2
NVGC,09:30:14.00,0.13,800
LPAD,09:30:02.00,0.74,1446
SGY,09:38:02.63,33.71,100
BSDM,09:33:09.43,1.1684,2400
APAM,09:37:53.35,65.39,40
SCSC,09:38:13.05,42.09,100
BFK,09:37:56.65,12.78,100
DHIL,09:36:49.33,118.95,1
BBBY,09:37:51.45,80.15,25
CVGI,09:36:16.80,7.27,100
BFO,09:30:45.10,15.18,11
NVGN,09:31:30.08,4.34,100
ARTNA,09:36:49.58,23.06,2
BFS,09:38:10.70,48.13,4
BFR,09:37:35.23,6.9,100
NVGS,09:38:13.83,26.85,700
SHG,09:38:06.80,44.23,100
BFY,09:37:58.65,12.74,200
SHI,09:35:56.03,28.19,100
SCSS,09:37:33.00,20.905,200
BFZ,09:34:19.05,13.66,100
SHM,09:36:30.48,24.276,200
SHO,09:38:09.95,13.28,100
BGB,09:38:14.00,17.79,100
BGC,09:37:52.83,29.16,100
MSCA,09:30:00.65,23.14,317
SHV,09:34:10.85,110.24,3
MSCC,09:38:09.73,24.72,100
BBDA,09:30:12.60,9.0E-4,84000
BGH,09:37:31.05,23.32,9
BGG,09:36:48.63,21.79,18
SHW,09:38:10.83,182.59,100
BGI,09:30:00.08,1.56,250
SHY,09:38:00.90,84.395,2
SCRC,09:34:06.80,0.1201,14000
MSCI,09:37:07.33,43.46,100
BBCZ,09:30:13.40,0.023,2600
